# FINAL HIGH-STAT coherent eps_det table
# Broad coherent MC used for bins without dedicated MC
# 223-234: 224coh (monoenergetic at 224.186 MeV; documented proxy)
# 283-294: 294coh
# 319-330: 320coh
# 356-366: 366coh
# input: /media/daniele/LaCie/Output/Acqu_geant_He4pi0.root
# definition: eps_det(E_lab,theta_cm) = Nreco / Ngen_bin
# denominator: Ngen_bin = Ntagged_in_Ebin * DeltaOmega_cm/(4*pi), valid if MC was generated isotropically in CM
# reco selection: two neutral clusters E>20, veto<1, best pair 110 < mgg < 155 MeV
# applyMMCut = 1, MM cut = [-10,40] MeV
# E_low E_high E_center thetaCm_low thetaCm_high thetaCm_center DeltaOmega_sr Ngen_E Ngen_bin Nreco eps_det deps_det
223 234 228.5 75 80 77.5 0.535144 1e+06 42585.4 32696 0.767774 0.00204617
223 234 228.5 80 85 82.5 0.543448 1e+06 43246.2 33690 0.779028 0.00199513
223 234 228.5 85 90 87.5 0.547616 1e+06 43577.9 33875 0.777344 0.00199292
223 234 228.5 90 95 92.5 0.547616 1e+06 43577.9 33439 0.767339 0.00202406
223 234 228.5 95 100 97.5 0.543448 1e+06 43246.2 33386 0.771998 0.00201745
223 234 228.5 100 105 102.5 0.535144 1e+06 42585.4 33283 0.781558 0.00200225
223 234 228.5 105 110 107.5 0.522768 1e+06 41600.5 31877 0.766264 0.00207493
223 234 228.5 110 115 112.5 0.506413 1e+06 40299.1 30739 0.762772 0.00211901
223 234 228.5 115 120 117.5 0.486204 1e+06 38690.9 29147 0.75333 0.00219153
223 234 228.5 120 125 122.5 0.462294 1e+06 36788.2 27272 0.741324 0.00228311
223 234 228.5 125 130 127.5 0.434867 1e+06 34605.6 25317 0.731587 0.00238211
223 234 228.5 130 135 132.5 0.404129 1e+06 32159.6 22819 0.709555 0.00253145
223 234 228.5 135 140 137.5 0.370316 1e+06 29468.8 20312 0.689271 0.0026959
223 234 228.5 140 145 142.5 0.333685 1e+06 26553.8 17182 0.647064 0.00293264
223 234 228.5 145 150 147.5 0.294514 1e+06 23436.7 14385 0.613781 0.00318035
235 246 240.5 5 10 7.5 0.0715463 12914 73.5255 20 0.272014 0.0518965
235 246 240.5 10 15 12.5 0.118639 12914 121.921 49 0.401901 0.0444025
235 246 240.5 15 20 17.5 0.164828 12914 169.388 75 0.442771 0.038165
235 246 240.5 20 25 22.5 0.209763 12914 215.566 107 0.496368 0.034054
235 246 240.5 25 30 27.5 0.253102 12914 260.103 127 0.488267 0.030994
235 246 240.5 30 35 32.5 0.294514 12914 302.661 157 0.518732 0.0287201
235 246 240.5 35 40 37.5 0.333685 12914 342.916 210 0.612395 0.0263097
235 246 240.5 40 45 42.5 0.370316 12914 380.56 242 0.635904 0.0246656
235 246 240.5 45 50 47.5 0.404129 12914 415.309 289 0.695868 0.022574
235 246 240.5 50 55 52.5 0.434867 12914 446.897 292 0.653395 0.0225114
